,sentence,aspects_seed,pol
0,"in the revised agreement , the city also would receive $ 200,000 a year , use of the arena for convention-related events or fund-raisers on 20 days a year , and a suite between the free-throw lines .",agreement,1
1,"who , s killing ericsson ?? its owners shareholders have no say under its ownership system by stanley reed in london , with ariane sains in stockholm sweden , s ericsson has just two main owners , the wallenberg family and a group of holding companies and a fund connected to handelsbanken , a stockholm bank , maintaining an iron grip with a minimal amount of capital . ?",companies,0
2,"with this leak of information , that i assumed was to be kept confidential , my concern is that this has put both my job at btu and the possibility of employment with enron in danger .",enron,1
3,"to opt-out of receiving informational email updates from rightworks in the future , please visit our email communication preferences page at http://www.rightworks.com/form/communication.html .",future,0
4,"certa in grades of steel are commodities , mcmahon insists , and as such should be bought and sold on a commodity market basis , instead of the strategic relationships that now exist between the mills and consumers .",market,0
5,these commercial entities buy pieces of the services on behalf of the ultimate customer - act as their agent - and package the final offer .,services,0
6,as other contracts expire it will eventually supervise $ 15 billion worth of power .,power,1
7,they will allow for a futures and forwards market to trade alongside the established spot market .,market,1
8,"all multi-establishment employers , i.e. employers doing business at more than one establishment , must file : - 1 - a report covering the principal or headquarters office  - 2 - a separate report for each establishment employing 50 or more persons  - 3 - a consolidated report that must include all employees by race , sex and job category in establishments with 50 or more employees as well as establishments with fewer than 50 employees  and - 4 - a list , showing the name , address , total employment and major activity for each establishment employ-ing fewer than 50 persons , must accompany the consolidated report .",report,0
9,"all multi-establishment employers , i.e. employers doing business at more than one establishment , must file : - 1 - a report covering the principal or headquarters office  - 2 - a separate report for each establishment employing 50 or more persons  - 3 - a consolidated report that must include all employees by race , sex and job category in establishments with 50 or more employees as well as establishments with fewer than 50 employees  and - 4 - a list , showing the name , address , total employment and major activity for each establishment employ-ing fewer than 50 persons , must accompany the consolidated report .",business,1
10,we are checking now to quietly determine whether these issues will be on wednesday 's agenda .,issues,-1
11,austria : austria 's liberalizing market is facing problems from within and without .,market,-1
12,pge spokeswoman staci homrig said her company plans to petition the bankruptcy court to have the conservation funds designated as a trust and separated from assets tied up in the bankruptcy proceedings .,company,1
13,"in the real world of politics it costs money to run for office and you have to get that money somewhere , said paul schmidt , a political science professor at cal state long beach .",money,-1
14,deal with state could take until 2002 to close by leslie gornstein ap business writer 03/06/2001 associated press newswires copyright 2001 .,business,-1
15,deal with state could take until 2002 to close by leslie gornstein ap business writer 03/06/2001 associated press newswires copyright 2001 .,deal,-1
16,good news - bill scott ceo said we were the only company that could deliver exactly what he asked for .,company,1
17,good news - bill scott ceo said we were the only company that could deliver exactly what he asked for .,bill,1
18,"if your schedule and inclination permits , we would like you to speak for about 25-35 minutes on corporate objectives and strategies , your experiences to date and any general plans for the future - that you are permitted to discuss - , with a focus on the gas and electric industries .",future,1
19,"in trying to dodge the blackout bullet , many western leaders are seeking to force a great change on the region : to renegotiate their states ' basic deal with california .",california,1
20,"in trying to dodge the blackout bullet , many western leaders are seeking to force a great change on the region : to renegotiate their states ' basic deal with california .",deal,1
21,i 'd like to review any of the previous work and make suggestions as necessary .,work,-1
22,"if you decide to attend , it will be necessary for you to contact the appropriate coordinator listed below in order to give them an accurate headcount and to be assigned a talking point for the meeting .",order,0
23,"this market design proposal encompasses a long , drawn out process for discussing what the northeast market should look like - minimum 12 months - before work begins to develop the new rto .",process,-1
